Address,Latitude,Longitude
Saint George Lafayette Hotel,48.8768,2.3379
Arc de Triomphe,48.864828,2.3074018
Centre Pompidou,48.8606455,2.3496701
Eiffel Tower,48.8583735,2.2896104
Domaine National du Palais-Royal,48.8677326,2.3273853
Musée d'Orsay,48.8599649,2.3239865
Musée de l'Orangerie,48.8637919,2.3200975
Musée des Arts et Métiers,48.8666427,2.3528634
Musée Rodin,48.8553107,2.3132605
Louvre Museum,48.8606146,2.3350691
Place de la Concorde,48.8666092,2.3260229
Palais Garnier,48.859113,2.3075623
